Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
FRAX+USDC ;0xCFc25170633581Bf896CB6CDeE170e3E3Aa59503;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;67.371408;239.285928;0.12
ETH+frxETH ;0x2932a86df44Fe8D2A706d8e9c5d51c24883423F5;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;212.960121;756.379623;0.38
OGN+OUSD+OETH ;0x92d956C1F89a2c71efEEB4Bac45d02016bdD2408;OGN;0x8207c1FfC5B6804F6024322CcF34F29c3541Ae26;6547.104376;714.508128;0.36
OGN+OUSD+OETH ;0x92d956C1F89a2c71efEEB4Bac45d02016bdD2408;OETH;0x856c4Efb76C1D1AE02e20CEB03A2A6a08b0b8dC3;0.018074;60.271155;0.03
OGN+OUSD+OETH ;0x92d956C1F89a2c71efEEB4Bac45d02016bdD2408;OUSD;0x2A8e1E676Ec238d8A992307B495b45B3fEAa5e86;36.142163;74.573701;0.04
reUSD+scrvUSD ;0xaF01d68714E7eA67f43f08b5947e367126B889b1;RSUP;0x419905009e4656fdC02418C7Df35B1E61Ed5F726;11833.756562;46842.295368;23.68
reUSD+sfrxUSD ;0x5C0B03914f68F2717d779a0211fd98C2CC45a4dD;RSUP;0x419905009e4656fdC02418C7Df35B1E61Ed5F726;3524.165259;13949.922760;7.05
WETH+RSUP ;0x09F62a6777032329C0d49F1FD4fBe9b3468CDa56;RSUP;0x419905009e4656fdC02418C7Df35B1E61Ed5F726;3897.043220;15425.908806;7.80
CVX1+cvgCVX ;0xeE624fCbb0C197E41ffc58999e6D35b9B893533E;crvUSD;0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E;303.785936;629.529409;0.32
SDT+cvgSDT ;0x63DC752E11D4c9D0f2160DA20EdF2111FECB0a66;crvUSD;0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E;72.867710;151.002272;0.08
alETH+pxETH ;0x4C5a449c6B81b800938EFCCDB41970e9CF9eC478;ALCX;0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF;92.429239;1599.851864;0.81
MIM+3Crv ;0xd8b712d29381748dB89c36BCa0138d7c75866ddF;SPELL;0x090185f2135308BaD17527004364eBcC2D37e5F6;18734252.256158;20141.018329;10.18
lend-crvUSD;0xA21043Df8d25DC876F38Bc5C7e54285F3e1a936b;INV;0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68;27.644014;1418.310684;0.72
DOLA+scrvUSD ;0xd51E1Eee15eF7dc924AAA8B82ff2D2E73408F58c;INV;0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68;19.183242;984.220203;0.50
DOLA+USR ;0xd303994a0Db9b74f3E8fF629ba3097fC7060C331;INV;0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68;209.879408;10768.125388;5.44
DOLA+sUSDe ;0x8f5e52BE9B7BDe850BA13e40284F63f14677058f;INV;0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68;275.753153;14147.860236;7.15
DOLA+sUSDS ;0x8B0aBcFC78a5c14520682FCD76A0E52B71126079;INV;0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68;269.653795;13834.925051;6.99
DOLA+deUSD ;0xa48A3c91b062ca06Fd0d0569695432EB066f8c7E;INV;0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68;163.003072;8363.076395;4.23
ETH+ETHx ;0x7671299eA7B4bbE4f3fD305A994e6443b4be680E;SD;0x30D20208d987713f46DFD34EF128Bb16C404D10f;3470.600261;3375.468485;1.71
CVX+clevCVX ;0x7970489a543FB237ABab63d62524d8A5CE165B86;CVX;0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B;417.122474;1927.288493;0.97
sUSD+sUSDe ;0x411387Be45F5c001159f3d76e26Fe7D200e5Dc71;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;20268.009731;42396.778941;21.43
